                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6547,                 4.0789,                 4.2279,                0.00238,                0.16185,                0.00304,                0.00092,                 4.3933,                 4.0072,                 4.1555,                0.00038,                0.00038,                0.00038
                      2,                 3.4806,                 3.7009,                 4.0087,                0.00234,                0.16763,                0.00294,                0.00075,                 4.4716,                 4.0165,                 4.2116,             0.00076713,             0.00076713,             0.00076713
                      3,                 3.1959,                 3.4376,                 3.6573,                0.00233,                0.15029,                0.00313,                0.00079,                 4.5975,                  4.094,                 4.4224,              0.0011411,              0.0011411,              0.0011411
                      4,                 3.0433,                 3.2645,                 3.3121,                0.00384,                0.05973,                0.00295,                0.00094,                 4.6026,                 4.2841,                 4.6036,              0.0015018,              0.0015018,              0.0015018
                      5,                 2.8273,                 3.2338,                 3.0764,                0.05068,                0.02312,                0.00672,                0.00211,                 4.1051,                 4.0396,                  4.049,              0.0018493,              0.0018493,              0.0018493
                      6,                 2.7536,                 3.0659,                 2.9706,                0.02303,                0.07514,                0.01082,                0.00361,                 3.1794,                 3.9264,                 3.2672,               0.001835,               0.001835,               0.001835
                      7,                 2.6127,                 2.9018,                 2.8057,                 0.0274,                0.15029,                0.01359,                0.00448,                 2.9094,                 6.4544,                 3.0485,               0.001835,               0.001835,               0.001835
                      8,                 2.5568,                 2.8403,                 2.7645,                0.04403,                0.07129,                0.01619,                0.00518,                 2.8605,                 3.5884,                  2.947,               0.001802,               0.001802,               0.001802
                      9,                 2.5386,                 2.8186,                  2.747,                0.11734,                0.09827,                0.04138,                0.01376,                 2.6922,                 3.1788,                 2.7759,               0.001769,               0.001769,               0.001769
                     10,                 2.4991,                 2.6898,                 2.6398,                0.06069,                0.09441,                0.03008,                0.01024,                 2.6571,                 4.7802,                 2.6582,               0.001736,               0.001736,               0.001736
                     11,                 2.4274,                 2.6453,                 2.6344,                0.12075,                0.10597,                0.04486,                0.01351,                 2.8873,                 3.3913,                 2.9391,               0.001703,               0.001703,               0.001703
